id,data_criacao,titulo,cidade,estado,tipo_problema,resolvido:bool,conteudo,tipo_postagem,ordem_da_interacao,tipo_interacao,id_pai,nome_completo_empresa,nome_curto_empresa,site_empresa,categoria_empresa
Y-qEtSVPQObj1eeu,2022-04-07,Nota fiscal,Manaus,AM,Não veio Nota Fiscal,False,"Olá, gostaria que a empresa enviasse a nota fiscal da crocs  que comprei, pois quando entregaram só veio a nota fiscal do tênis mule, não entendi porque veio separado.
Preciso da nota pra poder solicitar troca.
",complaint,0,COMPLAINT,Y-qEtSVPQObj1eeu,Dafiti.com.br,dafiti,http://www.dafiti.com.br,"['Relógios', 'Acessórios de Vestuário', 'Bolsas e Malas', 'Perfumarias', 'Corpo e Banho', 'Suplementos Alimentares', 'Moda Infantil', 'Moda Masculina', 'Moda Feminina', 'Equipamentos de Beleza e Estética', 'Corpo e Banho Infantil', 'Maquiagem', 'Mãos e Pés', 'Cabelos']"
MLpEfUfpsBUgAOao,2022-04-07,Nota fiscal,Manaus,AM,Não veio Nota Fiscal,False,"Boa tarde, Jordana Marjorye.

Agradeço por me atender.

Conforme conversamos enviei a nota fiscal por e-mail.

Qualquer dúvida, pode me chamar aqui.

Atenciosamente,

Brenda
Reclame Aqui
Equipe Dafiti",interaction,1,ANSWER,Y-qEtSVPQObj1eeu,Dafiti.com.br,dafiti,http://www.dafiti.com.br,"['Relógios', 'Acessórios de Vestuário', 'Bolsas e Malas', 'Perfumarias', 'Corpo e Banho', 'Suplementos Alimentares', 'Moda Infantil', 'Moda Masculina', 'Moda Feminina', 'Equipamentos de Beleza e Estética', 'Corpo e Banho Infantil', 'Maquiagem', 'Mãos e Pés', 'Cabelos']"
ZeWUgySwYAKnGxCK,2022-04-07,Nota fiscal,Manaus,AM,Não veio Nota Fiscal,False,"Olá, poderia enviar o código de postagem, solicitei mais não chegou.
Quero fazer devolução.",interaction,2,REPLY,Y-qEtSVPQObj1eeu,Dafiti.com.br,dafiti,http://www.dafiti.com.br,"['Relógios', 'Acessórios de Vestuário', 'Bolsas e Malas', 'Perfumarias', 'Corpo e Banho', 'Suplementos Alimentares', 'Moda Infantil', 'Moda Masculina', 'Moda Feminina', 'Equipamentos de Beleza e Estética', 'Corpo e Banho Infantil', 'Maquiagem', 'Mãos e Pés', 'Cabelos']"
ARB8kTaBFDJ78twy,2022-04-08,Nota fiscal,Manaus,AM,Não veio Nota Fiscal,False,"Boa tarde, Jordana Marjorye.

Enviei as informações por e-mail.

Qualquer dúvida, pode me chamar aqui.

Atenciosamente,

Brenda
Reclame Aqui
Equipe Dafiti",interaction,3,COMPANY_REPLY,Y-qEtSVPQObj1eeu,Dafiti.com.br,dafiti,http://www.dafiti.com.br,"['Relógios', 'Acessórios de Vestuário', 'Bolsas e Malas', 'Perfumarias', 'Corpo e Banho', 'Suplementos Alimentares', 'Moda Infantil', 'Moda Masculina', 'Moda Feminina', 'Equipamentos de Beleza e Estética', 'Corpo e Banho Infantil', 'Maquiagem', 'Mãos e Pés', 'Cabelos']"
o8itAigG25CoJQ9B,2022-04-08,Pag seguro ,Fortaleza,CE,RAV (Recebimento antecipado de vendas),False,"Tiver meu saldo bloqueado
não avisaram nada e não consigo usar meu saldo pra nada passei um constrangimento no mercado com minhas compras e a PagSeguro bloquear o saldo dos clientes deles e pronto ",complaint,0,COMPLAINT,o8itAigG25CoJQ9B,PagBank PagSeguro,pagseguro,http://pagseguro.uol.com.br,"['Meios de pagamentos eletrônicos', 'Máquinas e equipamentos']"
kPAwdheAt-Qqqv2v,2022-04-09,Pag seguro ,Fortaleza,CE,RAV (Recebimento antecipado de vendas),False,"Olá Claudene, bom dia. Tudo bem? Esperamos que sim!


Recebi a sua solicitação, e sei urgência deste assunto
Fizemos uma análise e no momento foi necessário seguir com o encerramento do seu contrato devido a irregularidade identificadas no seu perfil.

No contrato, tem uma cláusula que detalha este assunto. Você pode ler abaixo ou ter acesso ao contrato pelo site pagseguro.uol.com.br, descendo até o final da página e na opção Contrato de Serviços.

14.4. Qualquer das partes poderá rescindir o presente contrato a qualquer momento durante seu período de vigência, mediante cancelamento do Serviço.

5.15.3. Sem prejuízo das cláusulas anteriores, poderá o PAGSEGURO, a seu exclusivo critério, reter o saldo existente no Registro de Serviço do Vendedor, em valor suficiente a cobrir eventuais riscos que possam ser gerados aos Compradores e/ao próprio PAGSEGURO em razão das Transações realizadas por meio do Serviço.


Para mais informações, pelo que veja o detalhamento da ação no e-mail enviado.
Caso você tenha mais perguntas, permanecemos à disposição através de nossos Canais de Atendimento:

Nossa central de atendimento permanece a disposição, nos números:
4003 1775 (Capitais e Regiões Metropolitanas)
0800 728 2174 (Outras localidades)

Se preferir, acesse a nossa página com as perguntas mais frequentes:
https://pagseguro.uol.com.br/atendimento/perguntas_frequentes.jhtml


Atenciosamente,
Juliana Consultora Reclame Aqui - Equipe PagSeguro",interaction,1,ANSWER,o8itAigG25CoJQ9B,PagBank PagSeguro,pagseguro,http://pagseguro.uol.com.br,"['Meios de pagamentos eletrônicos', 'Máquinas e equipamentos']"
K4-5KPuHDvEIep6C,2022-04-09,Pag seguro ,Fortaleza,CE,RAV (Recebimento antecipado de vendas),False,"Péssimo da parte da PagSeguro
Que não tem compromisso com seus clientes",interaction,2,FINAL_ANSWER,o8itAigG25CoJQ9B,PagBank PagSeguro,pagseguro,http://pagseguro.uol.com.br,"['Meios de pagamentos eletrônicos', 'Máquinas e equipamentos']"
9govV2pzjSt3WDDH,2022-05-06,Quero cancelar assinatura,Guarulhos,SP,Tv,True,"Estou querendo cancelar minha assinatura,no app não deixa no site só inglês. Fazem de tudo pra não fazer o cancelamento",complaint,0,COMPLAINT,9govV2pzjSt3WDDH,Amazon,amazon,http://www.amazon.com.br,"['Cama, Mesa e Banho', 'Foto e Vídeo', 'Informática', 'Eletroeletrônicos', 'Eletrodomésticos', 'Eletroportáteis', 'Utilidades domésticas', 'Celulares e Smartphones', 'Telefones fixos (aparelhos)', 'Games e Jogos', 'Livros', 'Chuveiros e Aquecedores', 'Cabelos', 'Decoração', 'Acessórios para Celulares, Tablets e Computadores', 'Pilhas e Carregadores', 'Iluminação e Elétrica', 'Problemas com o Atendimento', 'Problemas com o Site', 'Presentes e Enfeites']"
R6-mYRAD6MlEPd6I,2022-05-06,Quero cancelar assinatura,Guarulhos,SP,Tv,True,"Olá, Lafaiete. Boa tarde!
Esperamos que esteja bem.

Agradecemos por entrar em contato conosco.

Pra conversar com você e auxiliar em seu caso, tentei algumas vezes contato com você no numero cadastrado no seu perfil do Reclame Aqui hoje, dia 06/05 ás 16:50 horas, porém sem sucesso na tentativa realizada.

Lamentamos muito por todo o transtorno que você passou, essa não é a experiência que queremos para os nossos clientes.

Para que a gente consiga ajudar você o quanto antes, mandei hoje uma mensagem privada no e-mail que está cadastrado no seu perfil do Reclame Aqui, com todas as informações. Quando puder, dê uma olhada em sua caixa de e-mails (caso necessário, confira a Caixa de Entrada, a Caixa de Spam e a do Lixo Eletrônico para localizar a minha mensagem).

Por favor, entre em contato conosco: https://www.amazon.com.br/faleconosco

Através do nosso telefone: 0800 038 0541, ou por e-mail: primary@amazon.com.br

Agradecemos muito sua paciência e compreensão.
Desejamos a você um bom dia!

Atenciosamente,
Equipe Amazon.com.br",interaction,1,ANSWER,9govV2pzjSt3WDDH,Amazon,amazon,http://www.amazon.com.br,"['Cama, Mesa e Banho', 'Foto e Vídeo', 'Informática', 'Eletroeletrônicos', 'Eletrodomésticos', 'Eletroportáteis', 'Utilidades domésticas', 'Celulares e Smartphones', 'Telefones fixos (aparelhos)', 'Games e Jogos', 'Livros', 'Chuveiros e Aquecedores', 'Cabelos', 'Decoração', 'Acessórios para Celulares, Tablets e Computadores', 'Pilhas e Carregadores', 'Iluminação e Elétrica', 'Problemas com o Atendimento', 'Problemas com o Site', 'Presentes e Enfeites']"
9N8d6kz1y4BYTis5,2022-05-06,Quero cancelar assinatura,Guarulhos,SP,Tv,True,Otimo.foi resolvido rapido.,interaction,2,FINAL_ANSWER,9govV2pzjSt3WDDH,Amazon,amazon,http://www.amazon.com.br,"['Cama, Mesa e Banho', 'Foto e Vídeo', 'Informática', 'Eletroeletrônicos', 'Eletrodomésticos', 'Eletroportáteis', 'Utilidades domésticas', 'Celulares e Smartphones', 'Telefones fixos (aparelhos)', 'Games e Jogos', 'Livros', 'Chuveiros e Aquecedores', 'Cabelos', 'Decoração', 'Acessórios para Celulares, Tablets e Computadores', 'Pilhas e Carregadores', 'Iluminação e Elétrica', 'Problemas com o Atendimento', 'Problemas com o Site', 'Presentes e Enfeites']"
